id,value
1.superyacht,66.3998301740508
1.viareggio,33.1999150870254
1.boat,25.9026716544583
1.custom,25.8221561787976
1.industri,18.9711998488588
1.perini,18.4443972705697
1.poerio,18.4443972705697
1.vessel,14.97866136777
1.perotti,14.7555178164557
1.shipbuild,14.7555178164557
2.rainfal,40.5776739952533
2.flood,32.9530550090939
2.met,29.5110356329115
2.climat,23.9658581884319
2.record,22.6586009657621
2.winter,20.9701259148779
2.risk,20.8683198337447
2.unpreced,14.97866136777
2.offic,13.4248938909995
2.downpour,11.0666383623418
2.supercomput,11.0666383623418
3.formula,70.0887096281648
3.milk,55.333191811709
3.breast,44.2665534493672
3.liebig,29.5110356329115
3.mother,28.4929388199041
3.breastfeed,25.8221561787976
3.babi,20.7221373235666
3.nestl,18.4443972705697
3.liebig',18.4443972705697
3.infant,18.4443972705697
3.justu,18.4443972705697
4.swim,43.5742326264656
4.school,22.3748231516658
4.parri,14.97866136777
4.primari,12.9513358272291
4.curriculum,11.982929094216
4.children,10.3972077083992
4.safeti,9.21034037197618
4.children',8.98719682066197
4.report,8.39857699598942
4.nation,8.31776616671934
5.korea,44.2665534493672
5.brazil,31.0832059853499
5.korean,29.5110356329115
5.brazilian,25.8221561787976
5.gil,14.7555178164557
5.racist,14.7555178164557
5.tv,12.8755032994728
5.portugues,11.982929094216
5.pop,11.982929094216
5.hashtag,11.0666383623418
5.kard,11.0666383623418
5.gestur,11.0666383623418
5.blackfac,11.0666383623418
6.ryanair,33.1999150870254
6.airlin,18.1318701581208
6.fare,14.97866136777
6.ryanair',11.0666383623418
6.easyjet,11.0666383623418
6.warn,10.3972077083992
6.revenu,8.98719682066197
6.competit,8.31776616671934
6.euro,7.77080149633748
6.flight,7.77080149633748
6.brexit,7.77080149633748
6.passeng,7.77080149633748
7.disord,40.5776739952533
7.eat,35.9487872826479
7.priyesh,29.5110356329115
7.asian,14.7555178164557
7.bulimia,14.7555178164557
7.i,14.7124387951759
7.beat,11.982929094216
7.male,11.5129254649702
7.treatment,11.5129254649702
7.recoveri,11.0666383623418
8.cricket,77.4664685363927
8.women',41.4465316738928
8.game,36.2637403162416
8.england',25.8221561787976
8.cup,23.9658581884319
8.robinson,23.9658581884319
8.lord',22.1332767246836
8.triumph,22.1332767246836
8.knight,20.9701259148779
8.tournament,18.4443972705697
9.habana,18.4443972705697
9.v,18.4443972705697
9.race,15.1769598790871
9.athlet,14.97866136777
9.owen,14.7555178164557
9.cheetah,14.7555178164557
9.dolphin,11.982929094216
9.phelp,11.0666383623418
9.ostrich,11.0666383623418
9.shark,11.0666383623418
9.denni,11.0666383623418
10.flight,20.7221373235666
10.plane,18.1318701581208
10.passeng,18.1318701581208
10.sky,11.982929094216
10.seat,11.5129254649702
10.we’ll,11.0666383623418
10.aircraft,10.3610686617833
10.airlin,10.3610686617833
10.commerci,8.98719682066197
10.fly,8.31776616671934
10.class,8.31776616671934
11.jane,47.9317163768639
11.austen,44.2665534493672
11.chosen,44.2665534493672
11.lovetoread,25.8221561787976
11.librari,18.4443972705697
11.you'll,18.4443972705697
11.pride,17.9743936413239
11.her,17.8469761164775
11.prejudic,14.97866136777
11.novel,14.97866136777
12.psychopath,7.37775890822787
12.selfi,5.99146454710798
12.taker,3.68887945411394
12.trait,3.68887945411394
12.tomorrow',2.99573227355399
12.regular,2.99573227355399
12.scientist,2.07944154167984
12.me,1.49165487677772
12.share,1.1239300966524
12.found,1.04982212449868
13.wave,206.705526875225
13.surf,118.044142531646
13.surfer,88.5331068987345
13.credit,62.7468949821104
13.fin,55.333191811709
13.photo,46.6248089780249
13.ocean,44.0345418125791
13.stock,41.9402518297559
13.nazar,36.8887945411394
13.reef,33.1999150870254
14.disast,51.6443123575951
14.credit,31.3734474910552
14.plane,31.0832059853499
14.larson,29.5110356329115
14.brain,26.9615904619859
14.tend,26.9615904619859
14.tsunami,25.8221561787976
14.getti,24.4015702708207
14.it’,23.0258509299405
14.fire,22.8738569584782
15.watl,66.3998301740508
15.road,37.429947750237
15.street,34.1481597279459
15.roman,33.1999150870254
15.stori,24.5286994449958
15.canterburi,14.97866136777
15.snowdonia,14.7555178164557
15.elstre,14.7555178164557
15.britain,12.476649250079
15.moor,11.982929094216
15.rout,11.982929094216
15.tale,11.982929094216
16.snake,25.8221561787976
16.chick,14.7555178164557
16.blind,7.37775890822787
16.via,7.37775890822787
16.attenborough,7.37775890822787
16.tiger,7.37775890822787
16.gull,7.37775890822787
16.attenborough',7.37775890822787
16.earth,6.4377516497364
16.sir,5.18053433089165
17.harper,44.2665534493672
17.credit,38.3453247112897
17.georgian,33.1999150870254
17.church,29.9336062089226
17.emma,27.6310211159286
17.monasteri,22.1332767246836
17.fate,20.9701259148779
17.nadworni,18.4443972705697
17.klarjeti,18.4443972705697
17.tao,18.4443972705697
18.basqu,173.377334343355
18.languag,169.688454889241
18.euskara,162.310695981013
18.credit,40.0882940163483
18.salaburu,36.8887945411394
18.spanish,31.0832059853499
18.spoken,29.9573227355399
18.errekatxo,29.5110356329115
18.bilbao,29.5110356329115
18.franco,25.8221561787976
19.potato,29.5110356329115
19.pepper,18.4443972705697
19.oil,18.4443972705697
19.slice,11.982929094216
19.bake,11.0666383623418
19.jar,11.0666383623418
19.oven,8.98719682066197
19.tip,7.77080149633748
19.min,7.37775890822787
19.200c,7.37775890822787
19.refriger,7.37775890822787
19.bowl,7.37775890822787
19.roast,7.37775890822787
19.chargril,7.37775890822787
19.crisp,7.37775890822787
19.toss,7.37775890822787
19.coriand,7.37775890822787
19.peel,7.37775890822787
19.slot,7.37775890822787
19.nigella,7.37775890822787
20.edinburgh,33.1999150870254
20.festiv,29.5110356329115
20.scotrail,18.4443972705697
20.carriag,14.97866136777
20.extra,14.5560907917588
20.train,11.3827199093153
20.fife,11.0666383623418
20.fring,11.0666383623418
20.allianc,11.0666383623418
20.august,11.0666383623418
21.crossrail,29.5110356329115
21.mayor,20.9701259148779
21.rail,20.9701259148779
21.2,18.7149738751185
21.london,18.0218266945586
